id,level,description
A.01.33-4/10,Subclasse,"Cultivo de manga"
A.01.33-4/11,Subclasse,"Cultivo de pêssego"
A.01.33-4/99,Subclasse,"Cultivo de frutas de lavoura permanente não especificadas anteriormente"
A.01.34-2,Classe,"Cultivo de café"
A.01.34-2/00,Subclasse,"Cultivo de café"
A.01.35-1,Classe,"Cultivo de cacau"
A.01.35-1/00,Subclasse,"Cultivo de cacau"
A.01.39-3,Classe,"Cultivo de plantas de lavoura permanente não especificadas anteriormente"
A.01.39-3/01,Subclasse,"Cultivo de chá-da-índia"
A.01.39-3/02,Subclasse,"Cultivo de erva-mate"
A.01.39-3/03,Subclasse,"Cultivo de pimenta-do-reino"
A.01.39-3/04,Subclasse,"Cultivo de plantas para condimento, exceto pimenta-do-reino"
A.01.39-3/05,Subclasse,"Cultivo de dendê"
A.01.39-3/06,Subclasse,"Cultivo de seringueira"
A.01.39-3/99,Subclasse,"Cultivo de outras plantas de lavoura permanente não especificadas anteriormente"
A.01.4,Grupo,"Produção de sementes e mudas certificadas"
A.01.41-5,Classe,"Produção de sementes certificadas"
A.01.41-5/01,Subclasse,"Produção de sementes certificadas, exceto de forrageiras para pasto"
A.01.41-5/02,Subclasse,"Produção de sementes certificadas de forrageiras para formação de pasto"
A.01.42-3,Classe,"Produção de mudas e outras formas de propagação vegetal, certificadas"
A.01.42-3/00,Subclasse,"Produção de mudas e outras formas de propagação vegetal, certificadas"
A.01.5,Grupo,"Pecuária"
A.01.51-2,Classe,"Criação de bovinos"
A.01.51-2/01,Subclasse,"Criação de bovinos para corte"
A.01.51-2/02,Subclasse,"Criação de bovinos para leite"
A.01.51-2/03,Subclasse,"Criação de bovinos, exceto para corte e leite"
A.01.52-1,Classe,"Criação de outros animais de grande porte"
A.01.52-1/01,Subclasse,"Criação de bufalinos"
A.01.52-1/02,Subclasse,"Criação de eqüinos"
A.01.52-1/03,Subclasse,"Criação de asininos e muares"
A.01.53-9,Classe,"Criação de caprinos e ovinos"
A.01.53-9/01,Subclasse,"Criação de caprinos"
A.01.53-9/02,Subclasse,"Criação de ovinos, inclusive para produção de lã"
A.01.54-7,Classe,"Criação de suínos"
A.01.54-7/00,Subclasse,"Criação de suínos"
A.01.55-5,Classe,"Criação de aves"
A.01.55-5/01,Subclasse,"Criação de frangos para corte"
A.01.55-5/02,Subclasse,"Produção de pintos de um dia"
A.01.55-5/03,Subclasse,"Criação de outros galináceos, exceto para corte"
A.01.55-5/04,Subclasse,"Criação de aves, exceto galináceos"
A.01.55-5/05,Subclasse,"Produção de ovos"
A.01.59-8,Classe,"Criação de animais não especificados anteriormente"
A.01.59-8/01,Subclasse,"Apicultura"
A.01.59-8/02,Subclasse,"Criação de animais de estimação"
A.01.59-8/03,Subclasse,"Criação de escargô"
A.01.59-8/04,Subclasse,"Criação de bicho-da-seda"
A.01.59-8/99,Subclasse,"Criação de outros animais não especificados anteriormente"
A.01.6,Grupo,"Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita"
A.01.61-0,Classe,"Atividades de apoio à agricultura"
A.01.61-0/01,Subclasse,"Serviço de pulverização e controle de pragas agrícolas"
A.01.61-0/02,Subclasse,"Serviço de poda de árvores para lavouras"
A.01.61-0/03,Subclasse,"Serviço de preparação de terreno, cultivo e colheita"
A.01.61-0/99,Subclasse,"Atividades de apoio à agricultura não especificadas anteriormente"
A.01.62-8,Classe,"Atividades de apoio à pecuária"
A.01.62-8/01,Subclasse,"Serviço de inseminação artificial em animais"
A.01.62-8/02,Subclasse,"Serviço de tosquiamento de ovinos"
A.01.62-8/03,Subclasse,"Serviço de manejo de animais"
A.01.62-8/99,Subclasse,"Atividades de apoio à pecuária não especificadas anteriormente"
A.01.63-6,Classe,"Atividades de pós-colheita"
A.01.63-6/00,Subclasse,"Atividades de pós-colheita"
A.01.7,Grupo,"Caça e serviços relacionados"
A.01.70-9,Classe,"Caça e serviços relacionados"
A.01.70-9/00,Subclasse,"Caça e serviços relacionados"
A.02,Divisão,"Produção Florestal"
A.02.1,Grupo,"Produção florestal - florestas plantadas"
A.02.10-1,Classe,"Produção florestal - florestas plantadas"
A.02.10-1/01,Subclasse,"Cultivo de eucalipto"
A.02.10-1/02,Subclasse,"Cultivo de acácia-negra"
A.02.10-1/03,Subclasse,"Cultivo de pinus"
A.02.10-1/04,Subclasse,"Cultivo de teca"
A.02.10-1/05,Subclasse,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca"
A.02.10-1/06,Subclasse,"Cultivo de mudas em viveiros florestais"
A.02.10-1/07,Subclasse,"Extração de madeira em florestas plantadas"
A.02.10-1/08,Subclasse,"Produção de carvão vegetal - florestas plantadas"
A.02.10-1/09,Subclasse,"Produção de casca de acácia-negra - florestas plantadas"
A.02.10-1/99,Subclasse,"Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas"
A.02.2,Grupo,"Produção florestal - florestas nativas"
A.02.20-9,Classe,"Produção florestal - florestas nativas"
A.02.20-9/01,Subclasse,"Extração de madeira em florestas nativas"
A.02.20-9/02,Subclasse,"Produção de carvão vegetal - florestas nativas"
A.02.20-9/03,Subclasse,"Coleta de castanha-do-pará em florestas nativas"
A.02.20-9/04,Subclasse,"Coleta de látex em florestas nativas"
A.02.20-9/05,Subclasse,"Coleta de palmito em florestas nativas"
A.02.20-9/06,Subclasse,"Conservação de florestas nativas"
A.02.20-9/99,Subclasse,"Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas"
A.02.3,Grupo,"Atividades de apoio à produção florestal"
A.02.30-6,Classe,"Atividades de apoio à produção florestal"
A.02.30-6/00,Subclasse,"Atividades de apoio à produção florestal"
A.03,Divisão,"Pesca e Aqüicultura"
A.03.1,Grupo,"Pesca"
A.03.11-6,Classe,"Pesca em água salgada"
A.03.11-6/01,Subclasse,"Pesca de peixes em água salgada"
A.03.11-6/02,Subclasse,"Pesca de crustáceos e moluscos em água salgada"
A.03.11-6/03,Subclasse,"Coleta de outros produtos marinhos"
A.03.11-6/04,Subclasse,"Atividades de apoio à pesca em água salgada"
A.03.12-4,Classe,"Pesca em água doce"
A.03.12-4/01,Subclasse,"Pesca de peixes em água doce"
A.03.12-4/02,Subclasse,"Pesca de crustáceos e moluscos em água doce"
A.03.12-4/03,Subclasse,"Coleta de outros produtos aquáticos de água doce"
A.03.12-4/04,Subclasse,"Atividades de apoio à pesca em água doce"
A.03.2,Grupo,"Aqüicultura"
A.03.21-3,Classe,"Aqüicultura em água salgada e salobra"
A.03.21-3/01,Subclasse,"Criação de peixes em água salgada e salobra"
A.03.21-3/02,Subclasse,"Criação de camarões em água salgada e salobra"
A.03.21-3/03,Subclasse,"Criação de ostras e mexilhões em água salgada e salobra"
A.03.21-3/04,Subclasse,"Criação de peixes ornamentais em água salgada e salobra"
A.03.21-3/05,Subclasse,"Atividades de apoio à aqüicultura em água salgada e salobra"
A.03.21-3/99,Subclasse,"Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente"
A.03.22-1,Classe,"Aqüicultura em água doce"
A.03.22-1/01,Subclasse,"Criação de peixes em água doce"
A.03.22-1/02,Subclasse,"Criação de camarões em água doce"
A.03.22-1/03,Subclasse,"Criação de ostras e mexilhões em água doce"
A.03.22-1/04,Subclasse,"Criação de peixes ornamentais em água doce"
A.03.22-1/05,Subclasse,"Ranicultura"
A.03.22-1/06,Subclasse,"Criação de jacaré"
A.03.22-1/07,Subclasse,"Atividades de apoio à aqüicultura em água doce"
A.03.22-1/99,Subclasse,"Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente"
B,Seção,"Indústrias Extrativas"
B.05,Divisão,"Extração de Carvão Mineral"
B.05.0,Grupo,"Extração de carvão mineral"
B.05.00-3,Classe,"Extração de carvão mineral"
B.05.00-3/01,Subclasse,"Extração de carvão mineral"
B.05.00-3/02,Subclasse,"Beneficiamento de carvão mineral"
B.06,Divisão,"Extração de Petróleo e Gás Natural"
B.06.0,Grupo,"Extração de petróleo e gás natural"
B.06.00-0,Classe,"Extração de petróleo e gás natural"
B.06.00-0/01,Subclasse,"Extração de petróleo e gás natural"
B.06.00-0/02,Subclasse,"Extração e beneficiamento de xisto"
B.06.00-0/03,Subclasse,"Extração e beneficiamento de areias betuminosas"
B.07,Divisão,"Extração de Minerais Metálicos"
B.07.1,Grupo,"Extração de minério de ferro"
B.07.10-3,Classe,"Extração de minério de ferro"
B.07.10-3/01,Subclasse,"Extração de minério de ferro"
B.07.10-3/02,Subclasse,"Pelotização, sinterização e outros beneficiamentos de minério de ferro"
B.07.2,Grupo,"Extração de minerais metálicos não-ferrosos"
B.07.21-9,Classe,"Extração de minério de alumínio"
B.07.21-9/01,Subclasse,"Extração de minério de alumínio"
B.07.21-9/02,Subclasse,"Beneficiamento de minério de alumínio"
B.07.22-7,Classe,"Extração de minério de estanho"
B.07.22-7/01,Subclasse,"Extração de minério de estanho"
B.07.22-7/02,Subclasse,"Beneficiamento de minério de estanho"
B.07.23-5,Classe,"Extração de minério de manganês"
B.07.23-5/01,Subclasse,"Extração de minério de manganês"
B.07.23-5/02,Subclasse,"Beneficiamento de minério de manganês"
B.07.24-3,Classe,"Extração de minério de metais preciosos"
B.07.24-3/01,Subclasse,"Extração de minério de metais preciosos"
B.07.24-3/02,Subclasse,"Beneficiamento de minério de metais preciosos"
B.07.25-1,Classe,"Extração de minerais radioativos"
B.07.25-1/00,Subclasse,"Extração de minerais radioativos"
B.07.29-4,Classe,"Extração de minerais metálicos não-ferrosos não especificados anteriormente"
B.07.29-4/01,Subclasse,"Extração de minérios de nióbio e titânio"
B.07.29-4/02,Subclasse,"Extração de minério de tungstênio"
B.07.29-4/03,Subclasse,"Extração de minério de níquel"
B.07.29-4/04,Subclasse,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente"
B.07.29-4/05,Subclasse,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente"
B.08,Divisão,"Extração de Minerais Não-Metálicos"
B.08.1,Grupo,"Extração de pedra, areia e argila"
B.08.10-0,Classe,"Extração de pedra, areia e argila"
B.08.10-0/01,Subclasse,"Extração de ardósia e beneficiamento associado"
B.08.10-0/02,Subclasse,"Extração de granito e beneficiamento associado"
B.08.10-0/03,Subclasse,"Extração de mármore e beneficiamento associado"
B.08.10-0/04,Subclasse,"Extração de calcário e dolomita e beneficiamento associado"
B.08.10-0/05,Subclasse,"Extração de gesso e caulim"
B.08.10-0/06,Subclasse,"Extração de areia, cascalho ou pedregulho e beneficiamento associado"
B.08.10-0/07,Subclasse,"Extração de argila e beneficiamento associado"
B.08.10-0/08,Subclasse,"Extração de saibro e beneficiamento associado"
B.08.10-0/09,Subclasse,"Extração de basalto e beneficiamento associado"
B.08.10-0/10,Subclasse,"Beneficiamento de gesso e caulim associado à extração"
B.08.10-0/99,Subclasse,"Extração e britamento de pedras e outros materiais para construção e beneficiamento associado"
B.08.9,Grupo,"Extração de outros minerais não-metálicos"
B.08.91-6,Classe,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos"
B.08.91-6/00,Subclasse,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos"
B.08.92-4,Classe,"Extração e refino de sal marinho e sal-gema"
B.08.92-4/01,Subclasse,"Extração de sal marinho"
B.08.92-4/02,Subclasse,"Extração de sal-gema"
B.08.92-4/03,Subclasse,"Refino e outros tratamentos do sal"
B.08.93-2,Classe,"Extração de gemas (pedras preciosas e semipreciosas)"
B.08.93-2/00,Subclasse,"Extração de gemas (pedras preciosas e semipreciosas)"
B.08.99-1,Classe,"Extração de minerais não-metálicos não especificados anteriormente"
B.08.99-1/01,Subclasse,"Extração de grafita"
B.08.99-1/02,Subclasse,"Extração de quartzo"
B.08.99-1/03,Subclasse,"Extração de amianto"
B.08.99-1/99,Subclasse,"Extração de outros minerais não-metálicos não especificados anteriormente"
B.09,Divisão,"Atividades de Apoio À Extração de Minerais"
B.09.1,Grupo,"Atividades de apoio à extração de petróleo e gás natural"
B.09.10-6,Classe,"Atividades de apoio à extração de petróleo e gás natural"
B.09.10-6/00,Subclasse,"Atividades de apoio à extração de petróleo e gás natural"
B.09.9,Grupo,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural"
B.09.90-4,Classe,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural"
B.09.90-4/01,Subclasse,"Atividades de apoio à extração de minério de ferro"
B.09.90-4/02,Subclasse,"Atividades de apoio à extração de minerais metálicos não-ferrosos"
B.09.90-4/03,Subclasse,"Atividades de apoio à extração de minerais não-metálicos"
C,Seção,"Indústrias de Transformação"
C.10,Divisão,"Fabricação de Produtos Alimentícios"
C.10.1,Grupo,"Abate e fabricação de produtos de carne"
C.10.11-2,Classe,"Abate de reses, exceto suínos"
C.10.11-2/01,Subclasse,"Frigorífico - abate de bovinos"
C.10.11-2/02,Subclasse,"Frigorífico - abate de eqüinos"
C.10.11-2/03,Subclasse,"Frigorífico - abate de ovinos e caprinos"
C.10.11-2/04,Subclasse,"Frigorífico - abate de bufalinos"
C.10.11-2/05,Subclasse,"Matadouro - abate de reses sob contrato, exceto abate de suínos"
C.10.12-1,Classe,"Abate de suínos, aves e outros pequenos animais"
C.10.12-1/01,Subclasse,"Abate de aves"
C.10.12-1/02,Subclasse,"Abate de pequenos animais"
C.10.12-1/03,Subclasse,"Frigorífico - abate de suínos"
C.10.12-1/04,Subclasse,"Matadouro - abate de suínos sob contrato"
C.10.13-9,Classe,"Fabricação de produtos de carne"
C.10.13-9/01,Subclasse,"Fabricação de produtos de carne"
C.10.13-9/02,Subclasse,"Preparação de subprodutos do abate"
C.10.2,Grupo,"Preservação do pescado e fabricação de produtos do pescado"
C.10.20-1,Classe,"Preservação do pescado e fabricação de produtos do pescado"
C.10.20-1/01,Subclasse,"Preservação de peixes, crustáceos e moluscos"
C.10.20-1/02,Subclasse,"Fabricação de conservas de peixes, crustáceos e moluscos"
C.10.3,Grupo,"Fabricação de conservas de frutas, legumes e outros vegetais"
C.10.31-7,Classe,"Fabricação de conservas de frutas"
C.10.31-7/00,Subclasse,"Fabricação de conservas de frutas"
C.10.32-5,Classe,"Fabricação de conservas de legumes e outros vegetais"
C.10.32-5/01,Subclasse,"Fabricação de conservas de palmito"
C.10.32-5/99,Subclasse,"Fabricação de conservas de legumes e outros vegetais, exceto palmito"
C.10.33-3,Classe,"Fabricação de sucos de frutas, hortaliças e legumes"
C.10.33-3/01,Subclasse,"Fabricação de sucos concentrados de frutas, hortaliças e legumes"
C.10.33-3/02,Subclasse,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados"
C.10.4,Grupo,"Fabricação de óleos e gorduras vegetais e animais"
C.10.41-4,Classe,"Fabricação de óleos vegetais em bruto, exceto óleo de milho"
C.10.41-4/00,Subclasse,"Fabricação de óleos vegetais em bruto, exceto óleo de milho"
C.10.42-2,Classe,"Fabricação de óleos vegetais refinados, exceto óleo de milho"
C.10.42-2/00,Subclasse,"Fabricação de óleos vegetais refinados, exceto óleo de milho"
C.10.43-1,Classe,"Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais"
C.10.43-1/00,Subclasse,"Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais"
C.10.5,Grupo,"Laticínios"
C.10.51-1,Classe,"Preparação do leite"
C.10.51-1/00,Subclasse,"Preparação do leite"
C.10.52-0,Classe,"Fabricação de laticínios"
C.10.52-0/00,Subclasse,"Fabricação de laticínios"
C.10.53-8,Classe,"Fabricação de sorvetes e outros gelados comestíveis"
C.10.53-8/00,Subclasse,"Fabricação de sorvetes e outros gelados comestíveis"
C.10.6,Grupo,"Moagem, fabricação de produtos amiláceos e de alimentos para animais"
C.10.61-9,Classe,"Beneficiamento de arroz e fabricação de produtos do arroz"
C.10.61-9/01,Subclasse,"Beneficiamento de arroz"
C.10.61-9/02,Subclasse,"Fabricação de produtos do arroz"
C.10.62-7,Classe,"Moagem de trigo e fabricação de derivados"
C.10.62-7/00,Subclasse,"Moagem de trigo e fabricação de derivados"
C.10.63-5,Classe,"Fabricação de farinha de mandioca e derivados"
C.10.63-5/00,Subclasse,"Fabricação de farinha de mandioca e derivados"
C.10.64-3,Classe,"Fabricação de farinha de milho e derivados, exceto óleos de milho"
C.10.64-3/00,Subclasse,"Fabricação de farinha de milho e derivados, exceto óleos de milho"
C.10.65-1,Classe,"Fabricação de amidos e féculas de vegetais e de óleos de milho"
C.10.65-1/01,Subclasse,"Fabricação de amidos e féculas de vegetais"
C.10.65-1/02,Subclasse,"Fabricação de óleo de milho em bruto"
C.10.65-1/03,Subclasse,"Fabricação de óleo de milho refinado"
C.10.66-0,Classe,"Fabricação de alimentos para animais"
C.10.66-0/00,Subclasse,"Fabricação de alimentos para animais"
C.10.69-4,Classe,"Moagem e fabricação de produtos de origem vegetal não especificados anteriormente"
C.10.69-4/00,Subclasse,"Moagem e fabricação de produtos de origem vegetal não especificados anteriormente"
C.10.7,Grupo,"Fabricação e refino de açúcar"
C.10.71-6,Classe,"Fabricação de açúcar em bruto"
C.10.71-6/00,Subclasse,"Fabricação de açúcar em bruto"
C.10.72-4,Classe,"Fabricação de açúcar refinado"
C.10.72-4/01,Subclasse,"Fabricação de açúcar de cana refinado"
C.10.72-4/02,Subclasse,"Fabricação de açúcar de cereais (dextrose) e de beterraba"
C.10.8,Grupo,"Torrefação e moagem de café"
C.10.81-3,Classe,"Torrefação e moagem de café"
C.10.81-3/01,Subclasse,"Beneficiamento de café"
C.10.81-3/02,Subclasse,"Torrefação e moagem de café"
C.10.82-1,Classe,"Fabricação de produtos à base de café"
C.10.82-1/00,Subclasse,"Fabricação de produtos à base de café"
C.10.9,Grupo,"Fabricação de outros produtos alimentícios"
C.10.91-1,Classe,"Fabricação de produtos de panificação"
C.10.91-1/01,Subclasse,"Fabricação de produtos de panificação Industrial"
C.10.91-1/02,Subclasse,"Fabricação de produtos de padaria e confeitaria com predominância de produção própria"
C.10.92-9,Classe,"Fabricação de biscoitos e bolachas"
C.10.92-9/00,Subclasse,"Fabricação de biscoitos e bolachas"
C.10.93-7,Classe,"Fabricação de produtos derivados do cacau, de chocolates e confeitos"
C.10.93-7/01,Subclasse,"Fabricação de produtos derivados do cacau e de chocolates"
C.10.93-7/02,Subclasse,"Fabricação de frutas cristalizadas, balas e semelhantes"
C.10.94-5,Classe,"Fabricação de massas alimentícias"
C.10.94-5/00,Subclasse,"Fabricação de massas alimentícias"
C.10.95-3,Classe,"Fabricação de especiarias, molhos, temperos e condimentos"
C.10.95-3/00,Subclasse,"Fabricação de especiarias, molhos, temperos e condimentos"
C.10.96-1,Classe,"Fabricação de alimentos e pratos prontos"
C.10.96-1/00,Subclasse,"Fabricação de alimentos e pratos prontos"
C.10.99-6,Classe,"Fabricação de produtos alimentícios não especificados anteriormente"
C.10.99-6/01,Subclasse,"Fabricação de vinagres"
C.10.99-6/02,Subclasse,"Fabricação de pós alimentícios"
C.10.99-6/03,Subclasse,"Fabricação de fermentos e leveduras"
C.10.99-6/04,Subclasse,"Fabricação de gelo comum"
C.10.99-6/05,Subclasse,"Fabricação de produtos para infusão (chá, mate, etc.)"
C.10.99-6/06,Subclasse,"Fabricação de adoçantes naturais e artificiais"
C.10.99-6/07,Subclasse,"Fabricação de alimentos dietéticos e complementos alimentares"
C.10.99-6/99,Subclasse,"Fabricação de outros produtos alimentícios não especificados anteriormente"
C.11,Divisão,"Fabricação de Bebidas"
C.11.1,Grupo,"Fabricação de bebidas alcoólicas"
C.11.11-9,Classe,"Fabricação de aguardentes e outras bebidas destiladas"
C.11.11-9/01,Subclasse,"Fabricação de aguardente de cana-de-açúcar"
C.11.11-9/02,Subclasse,"Fabricação de outras aguardentes e bebidas destiladas"
C.11.12-7,Classe,"Fabricação de vinho"
C.11.12-7/00,Subclasse,"Fabricação de vinho"
C.11.13-5,Classe,"Fabricação de malte, cervejas e chopes"
C.11.13-5/01,Subclasse,"Fabricação de malte, inclusive malte uísque"
C.11.13-5/02,Subclasse,"Fabricação de cervejas e chopes"
C.11.2,Grupo,"Fabricação de bebidas não-alcoólicas"
C.11.21-6,Classe,"Fabricação de águas envasadas"
C.11.21-6/00,Subclasse,"Fabricação de águas envasadas"
C.11.22-4,Classe,"Fabricação de refrigerantes e de outras bebidas não-alcoólicas"
C.11.22-4/01,Subclasse,"Fabricação de refrigerantes"
C.11.22-4/02,Subclasse,"Fabricação de chá mate e outros chás prontos para consumo"
C.11.22-4/03,Subclasse,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas"
C.11.22-4/04,Subclasse,"Fabricação de bebidas isotônicas"
C.11.22-4/99,Subclasse,"Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente"
C.12,Divisão,"Fabricação de Produtos Do Fumo"
C.12.1,Grupo,"Processamento industrial do fumo"
C.12.10-7,Classe,"Processamento industrial do fumo"
C.12.10-7/00,Subclasse,"Processamento industrial do fumo"
C.12.2,Grupo,"Fabricação de produtos do fumo"
C.12.20-4,Classe,"Fabricação de produtos do fumo"
C.12.20-4/01,Subclasse,"Fabricação de cigarros"
C.12.20-4/02,Subclasse,"Fabricação de cigarrilhas e charutos"
C.12.20-4/03,Subclasse,"Fabricação de filtros para cigarros"
C.12.20-4/99,Subclasse,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos"
C.13,Divisão,"Fabricação de Produtos Têxteis"
C.13.1,Grupo,"Preparação e fiação de fibras têxteis"
C.13.11-1,Classe,"Preparação e fiação de fibras de algodão"
C.13.11-1/00,Subclasse,"Preparação e fiação de fibras de algodão"
C.13.12-0,Classe,"Preparação e fiação de fibras têxteis naturais, exceto algodão"
C.13.12-0/00,Subclasse,"Preparação e fiação de fibras têxteis naturais, exceto algodão"
C.13.13-8,Classe,"Fiação de fibras artificiais e sintéticas"
C.13.13-8/00,Subclasse,"Fiação de fibras artificiais e sintéticas"
C.13.14-6,Classe,"Fabricação de linhas para costurar e bordar"
C.13.14-6/00,Subclasse,"Fabricação de linhas para costurar e bordar"
C.13.2,Grupo,"Tecelagem, exceto malha"
C.13.21-9,Classe,"Tecelagem de fios de algodão"
C.13.21-9/00,Subclasse,"Tecelagem de fios de algodão"
C.13.22-7,Classe,"Tecelagem de fios de fibras têxteis naturais, exceto algodão"
C.13.22-7/00,Subclasse,"Tecelagem de fios de fibras têxteis naturais, exceto algodão"
C.13.23-5,Classe,"Tecelagem de fios de fibras artificiais e sintéticas"
C.13.23-5/00,Subclasse,"Tecelagem de fios de fibras artificiais e sintéticas"
C.13.3,Grupo,"Fabricação de tecidos de malha"
C.13.30-8,Classe,"Fabricação de tecidos de malha"
C.13.30-8/00,Subclasse,"Fabricação de tecidos de malha"
C.13.4,Grupo,"Acabamentos em fios, tecidos e artefatos têxteis"
C.13.40-5,Classe,"Acabamentos em fios, tecidos e artefatos têxteis"
C.13.40-5/01,Subclasse,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário"
C.13.40-5/02,Subclasse,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário"
C.13.40-5/99,Subclasse,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário"
C.13.5,Grupo,"Fabricação de artefatos têxteis, exceto vestuário"
C.13.51-1,Classe,"Fabricação de artefatos têxteis para uso doméstico"
C.13.51-1/00,Subclasse,"Fabricação de artefatos têxteis para uso doméstico"
C.13.52-9,Classe,"Fabricação de artefatos de tapeçaria"
C.13.52-9/00,Subclasse,"Fabricação de artefatos de tapeçaria"
C.13.53-7,Classe,"Fabricação de artefatos de cordoaria"
C.13.53-7/00,Subclasse,"Fabricação de artefatos de cordoaria"
C.13.54-5,Classe,"Fabricação de tecidos especiais, inclusive artefatos"
C.13.54-5/00,Subclasse,"Fabricação de tecidos especiais, inclusive artefatos"
C.13.59-6,Classe,"Fabricação de outros produtos têxteis não especificados anteriormente"
C.13.59-6/00,Subclasse,"Fabricação de outros produtos têxteis não especificados anteriormente"
C.14,Divisão,"Confecção de Artigos Do Vestuário e Acessórios"
C.14.1,Grupo,"Confecção de artigos do vestuário e acessórios"
C.14.11-8,Classe,"Confecção de roupas íntimas"
C.14.11-8/01,Subclasse,"Confecção de roupas íntimas"
C.14.11-8/02,Subclasse,"Facção de roupas íntimas"
